x,x,x,x,x,x,x,x,x,e,x,s,x,x,x,x,x,x,x,x,x
x,,,,,,,,x,,x,,x,,,,,,,,x
x,,x,,x,,x,,x,,x,,x,,x,,x,x,x,,x
x,,x,,x,,x,,x,,x,,,,x,,,,,,x
x,,,,,,,,,,x,,x,x,x,,x,x,x,,x
x,x,x,x,,x,x,x,x,,x,,,,,,,,,,x
x,,,,,x,x,x,x,,x,x,x,x,x,,x,x,x,x,x
x,,x,x,,,,,,,x,,,,,,,,,,x
x,,x,x,x,x,,x,x,x,x,,x,x,x,,x,x,x,,x
x,,x,x,x,x,,x,x,x,x,,,,x,,x,x,x,,x
x,,,,,,,,,,x,x,x,,x,,x,,,,x
x,x,,x,,x,x,x,x,,x,x,x,x,x,,x,x,x,x,x
x,x,,x,,x,x,,,,,,,,x,,,,,,x
x,x,,x,,x,x,,x,,x,x,x,,x,x,x,x,x,,x
x,x,,x,,,,,,,x,x,x,,x,x,x,x,x,,x
x,x,,x,x,x,x,,x,x,x,,,,,,x,x,x,,x
x,x,,,,,,,x,x,x,,x,,x,,x,x,x,,x
x,x,,x,x,x,x,,,,,,,,x,,,,,,x
x,x,,x,x,x,x,x,x,x,x,,x,x,x,,x,x,x,x,x
x,x,,,,,,,,,x,,,,,,,,,,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
